"id","performer_id","event_name","theme_name","talent_name","location","description","image_profile","rate","average_rating","phone","experience","genres","performer_type","availability_status","created_at","updated_at"
"100","112","Corporate","Team Building","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/c5iRO0WwVW7AoL5GyKRD6v5IcisfHCGB414NToQ7.jpg","15000","2.00",NULL,"2",NULL,"group","Available","2025-01-16 02:28:28","2025-01-16 04:47:34"
"101","113","Corporate","Formal","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/IwuamtZMKT9jwMbAU4igTLzyC4LpzfsghM9U7HSC.jpg","18500","5.00",NULL,"3",NULL,"solo","Available","2025-01-16 02:34:02","2025-01-16 04:46:32"
"102","114","Corporate","Tech","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/DRPBEfAqR4N3YznuKM0vOebcllz0R0nS2fG07DfK.jpg","12000","4.00",NULL,"1",NULL,"solo","Available","2025-01-16 02:38:09","2025-01-16 04:54:13"
"103","115","Corporate","Minimal","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/GZPrcZKGDZveXrOreOiamFmYW0Zc9PkJo50KaZ7M.jpg","16000","5.00",NULL,"1",NULL,"solo","Available","2025-01-16 02:42:34","2025-01-16 04:48:42"
"104","116","Corporate","Minimal","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/H71gFXbShlhwZMYpbP5DxpegFF5Qof6THEUL4BEr.jpg","10000","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 02:49:15","2025-01-16 04:53:50"
"105","117","Corporate","Formal","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/Azshcm0XxjDXRvGepWsaZvHr64LhNn20gvQIBrh8.jpg","23000","4.00",NULL,"4",NULL,"solo","Available","2025-01-16 02:55:09","2025-01-16 04:53:26"
"106","118","Corporate","Team Building","Dance","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/MPEkEdMN9uMipYCXOy40rpC7XryCQ8PElIzAbAP8.jpg","7500","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 03:02:08","2025-01-16 04:48:03"
"107","119","Corporate","Team Building","Dance","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/T1mUa40lAFA1jo9HOWe6CCTciJVtCjhWctpMpqRZ.webp","7500","1.00",NULL,"1",NULL,"group","Available","2025-01-16 03:07:34","2025-01-16 04:52:56"
"108","120","Corporate","Futuristic","Dance","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/7YFucNBJlfORjzG6oDbGTMufSgoo74BfEbYpeCkO.jpg","25000","5.00",NULL,"6",NULL,"group","Available","2025-01-16 03:12:15","2025-01-16 04:52:26"
"109","121","Corporate","Futuristic","Dance","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/Ehp7QwhMpBQ8v0M5PXd4a4Mms08hAUsNgfTzVwCK.jpg","8500","1.00",NULL,"2",NULL,"solo","Available","2025-01-16 03:18:15","2025-01-16 04:51:24"
"110","122","Corporate","Team Building","Dance","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/ayIXjOoujMkpB8VI98UwRuTX99lVhJM3TUlI4u2l.jpg","13500","4.00",NULL,"2",NULL,"duo","Available","2025-01-16 03:22:36","2025-01-16 04:49:05"
"111","123","Corporate","Formal","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/xHt7Jx7FBCQswnhN1BndOy6EU3peFL2CarA5l2pv.jpg","19000","4.00",NULL,"2",NULL,"group","Available","2025-01-16 03:33:10","2025-01-16 04:51:01"
"112","124","Corporate","Minimal","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/qmFK8fFqVTXkBYLEHCOrUBfBZjlSGGjWv1duntKo.jpg","5555","3.00",NULL,"1",NULL,"solo","Available","2025-01-16 03:38:13","2025-01-16 04:51:53"
"113","125","Corporate","Minimal","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/rgGjZLchNPUHnq47sAj8qhxZXukKIiyuuB3gvX7H.jpg","7500","4.00",NULL,"1",NULL,"solo","Available","2025-01-16 03:41:06","2025-01-16 04:49:58"
"114","126","Corporate","Team Building","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/bgIzhKavgy7o4Vi9SMBUAaB7Fx23QPVXFPLeWOTX.jpg","14500","3.00",NULL,"10",NULL,"group","Available","2025-01-16 03:45:39","2025-01-16 04:50:29"
"115","127","Corporate","Minimal","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/dJTrKEBWl2LKCSjefMPrIrenFz1GLgfMVlX7uX85.jpg","3500","2.00",NULL,"1",NULL,"solo","Available","2025-01-16 03:48:57","2025-01-16 04:49:36"
